,Date,ExitDate,Stock,Return,Profit
431,2020-08-26,2020-09-02,1513_中興電,0.28388714453653985,1135548.5781461594
432,2020-08-26,2020-09-02,6443_元晶,0.243217832535912,972871.330143648
433,2020-08-26,2020-09-02,6237_驊訊,0.19498226543872543,779929.0617549018
434,2020-08-26,2020-09-02,3708_上緯投控,0.1868847622215135,747539.0488860541
435,2020-09-02,2020-09-09,8924_大田,0.2564234080033503,1025693.6320134011
436,2020-09-02,2020-09-09,8111_立碁,0.20801393512452893,832055.7404981157
437,2020-09-02,2020-09-09,1304_台聚,0.19287984422184712,771519.3768873885
438,2020-09-02,2020-09-09,9105_泰金寶-DR,0.18096557784274303,723862.3113709721
439,2020-09-02,2020-09-09,1513_中興電,0.17185068172107076,687402.726884283
440,2020-09-09,2020-09-16,9105_泰金寶-DR,0.358622469882514,1434489.879530056
441,2020-09-09,2020-09-16,3661_世芯-KY,0.24716723757225112,988668.9502890045
442,2020-09-09,2020-09-16,6533_晶心科,0.18999302447154198,759972.0978861679
443,2020-09-09,2020-09-16,8499_鼎炫-KY,0.13166220255648908,526648.8102259564
444,2020-09-09,2020-09-16,6683_雍智科技,0.12428282852430028,497131.3140972011
445,2020-09-16,2020-09-23,9105_泰金寶-DR,0.56538717181788,2261548.68727152
446,2020-09-16,2020-09-23,3228_金麗科,0.21273961620293758,850958.4648117503
447,2020-09-16,2020-09-23,5443_均豪,0.1250798254586889,500319.3018347556
448,2020-09-16,2020-09-23,6104_創惟,0.10304225026724212,412169.0010689685
449,2020-09-16,2020-09-23,3691_碩禾,0.10288067023468295,411522.68093873176
450,2020-09-23,2020-09-30,2303_聯電,0.09070342489351502,362813.69957406004
451,2020-09-23,2020-09-30,2371_大同,0.08685500263316115,347420.0105326446
452,2020-09-23,2020-09-30,2615_萬海,0.08152402970972616,326096.11883890466
453,2020-09-23,2020-09-30,2408_南亞科,0.07140082593725894,285603.30374903575
454,2020-09-23,2020-09-30,2355_敬鵬,0.06872017779637529,274880.7111855012
455,2020-09-30,2020-10-07,2331_精英,0.18573432245635968,742937.2898254388
456,2020-09-30,2020-10-07,6415_矽力*-KY,0.17357237683215,694289.5073285999
457,2020-09-30,2020-10-07,8261_富鼎,0.1666309616021442,666523.8464085767
458,2020-09-30,2020-10-07,2615_萬海,0.14286869122362655,571474.7648945062
459,2020-09-30,2020-10-07,5274_信驊,0.1286255614091496,514502.2456365984
460,2020-10-07,2020-10-14,3552_同致,0.33571103418566905,1342844.1367426761
461,2020-10-07,2020-10-14,6443_元晶,0.22747075845633846,909883.0338253538
462,2020-10-07,2020-10-14,3691_碩禾,0.20423536613893467,816941.4645557387
463,2020-10-07,2020-10-14,1609_大亞,0.16779832915047965,671193.3166019187
464,2020-10-07,2020-10-14,3498_陽程,0.1574024918465684,629609.9673862737
465,2020-10-14,2020-10-21,6284_佳邦,0.21561994502131743,862479.7800852697
466,2020-10-14,2020-10-21,6491_晶碩,0.18972926974657978,758917.0789863191
467,2020-10-14,2020-10-21,3532_台勝科,0.1522148055725734,608859.2222902935
468,2020-10-14,2020-10-21,5425_台半,0.11426513660152704,457060.5464061082
469,2020-10-14,2020-10-21,6191_精成科,0.11406879684570903,456275.1873828361
470,2020-10-21,2020-10-28,3545_敦泰,0.16713331659026465,668533.2663610586
471,2020-10-21,2020-10-28,6548_長科*,0.15342079488407045,613683.1795362819
472,2020-10-21,2020-10-28,1513_中興電,0.1416032612951772,566413.0451807088
473,2020-10-21,2020-10-28,2344_華邦電,0.12727054886841627,509082.1954736651
474,2020-10-21,2020-10-28,2388_威盛,0.12356025365574808,494241.0146229923
475,2020-10-28,2020-11-04,5309_系統電,0.2536853047988452,1014741.2191953808
476,2020-10-28,2020-11-04,3189_景碩,0.17705832749656647,708233.3099862658
477,2020-10-28,2020-11-04,8499_鼎炫-KY,0.12704011108923763,508160.4443569505
478,2020-10-28,2020-11-04,8046_南電,0.12277484520492932,491099.38081971725
479,2020-10-28,2020-11-04,6187_萬潤,0.12062307103897019,482492.28415588074
480,2020-11-04,2020-11-11,6150_撼訊,0.3843892942633589,1537557.1770534355
481,2020-11-04,2020-11-11,3374_精材,0.25777816295452594,1031112.6518181037
482,2020-11-04,2020-11-11,6223_旺矽,0.21694728425511034,867789.1370204414
483,2020-11-04,2020-11-11,3661_世芯-KY,0.21392514871878765,855700.5948751506
484,2020-11-04,2020-11-11,2231_為升,0.19400095041976884,776003.8016790753
485,2020-11-11,2020-11-18,6533_晶心科,0.310080765531195,1240323.0621247801
486,2020-11-11,2020-11-18,2497_怡利電,0.2888475933456176,1155390.3733824703
